NO,latitude,longitude,start_time,duration,Hour,Month,Day_Month
0,-49.326958000000005,-72.89073,2013-12-25 11:47:00-03:00,1186491,11,12,25
1,-49.32693,-72.89073,2013-12-25 12:13:00-03:00,4393711,12,12,25
2,-49.31661,-72.8989,2013-12-25 13:58:00-03:00,842939,13,12,25
3,-49.32716,-72.89072,2013-12-25 14:40:00-03:00,211887,14,12,25
4,-49.326879999999996,-72.89085,2013-12-25 16:31:00-03:00,71166228,16,12,25
5,-49.326935,-72.89074000000001,2013-12-26 12:21:00-03:00,370057,12,12,26
6,-49.326935,-72.89071,2013-12-26 12:31:00-03:00,7882206,12,12,26
7,-49.33384,-72.88286,2013-12-26 15:36:00-03:00,1469429,15,12,26
8,-50.339264,-72.263306,2013-12-26 18:42:00-03:00,331102,18,12,26
9,-50.339515999999996,-72.26488499999999,2013-12-26 18:54:00-03:00,1143395,18,12,26
10,-50.334602000000004,-72.2535,2013-12-26 19:18:00-03:00,3795662,19,12,26
11,-50.33566,-72.256226,2013-12-26 20:32:00-03:00,262267,20,12,26
12,-50.337933,-72.26236999999999,2013-12-26 20:41:00-03:00,99804,20,12,26
13,-50.337955,-72.265114,2013-12-26 20:47:00-03:00,425664,20,12,26
14,-50.337856,-72.26328000000001,2013-12-26 21:07:00-03:00,62026,21,12,26
15,-50.33813,-72.26397,2013-12-26 21:17:00-03:00,831941,21,12,26
16,-50.33432,-72.25323,2013-12-26 21:47:00-03:00,55396233,21,12,26
17,-50.3359,-72.2498,2013-12-27 13:17:00-03:00,416002,13,12,27
18,-50.378677,-72.267525,2013-12-27 13:50:00-03:00,130895,13,12,27
19,-50.380463,-72.28728000000001,2013-12-27 14:01:00-03:00,194619,14,12,27
20,-50.380917,-72.287834,2013-12-27 14:12:00-03:00,123914,14,12,27
21,-50.390636,-72.26618,2013-12-27 15:15:00-03:00,575322,15,12,27
22,-50.390537,-72.265976,2013-12-27 16:08:00-03:00,813962,16,12,27
23,-50.38342,-72.25001999999999,2013-12-27 16:37:00-03:00,602017,16,12,27
24,-50.33453,-72.25434,2013-12-27 16:51:00-03:00,4044481,16,12,27
25,-50.331738,-72.25796,2013-12-27 18:10:00-03:00,2975041,18,12,27
26,-50.331364,-72.265564,2013-12-27 19:08:00-03:00,474336,19,12,27
27,-50.328334999999996,-72.26779,2013-12-27 19:22:00-03:00,319204,19,12,27
28,-50.326446999999995,-72.26547,2013-12-27 19:36:00-03:00,669243,19,12,27
29,-50.323240000000006,-72.2639,2013-12-27 19:59:00-03:00,353116,19,12,27
30,-50.32087,-72.265884,2013-12-27 20:11:00-03:00,2193882,20,12,27
31,-50.322838,-72.26706999999999,2013-12-27 20:57:00-03:00,340279,20,12,27
32,-50.32492,-72.271805,2013-12-27 21:10:00-03:00,1405093,21,12,27
33,-50.333656,-72.26954,2013-12-27 21:42:00-03:00,421455,21,12,27
34,-50.33793,-72.26318,2013-12-27 21:58:00-03:00,446364,21,12,27
35,-50.338104,-72.26388,2013-12-27 22:12:00-03:00,1515711,22,12,27
36,-50.338135,-72.263954,2013-12-27 22:52:00-03:00,157721,22,12,27
37,-50.338584999999995,-72.26535,2013-12-27 22:58:00-03:00,831237,22,12,27
38,-50.338013000000004,-72.25836,2013-12-27 23:21:00-03:00,202900,23,12,27
39,-50.334606,-72.25349399999999,2013-12-27 23:29:00-03:00,2406408,23,12,27
40,-50.334274,-72.25474,2013-12-28 00:15:00-03:00,1283422,0,12,28
41,-50.3346,-72.25350999999999,2013-12-28 00:40:00-03:00,1811818,0,12,28
42,-50.33426,-72.25475,2013-12-28 01:14:00-03:00,2448768,1,12,28
43,-50.334590000000006,-72.25349399999999,2013-12-28 01:59:00-03:00,28217904,1,12,28
44,-50.334236,-72.25478000000001,2013-12-28 09:53:00-03:00,957246,9,12,28
45,-50.334595,-72.253525,2013-12-28 10:15:00-03:00,2120155,10,12,28
46,-50.339413,-72.26513,2013-12-28 10:57:00-03:00,2212856,10,12,28
47,-50.426840000000006,-72.75216,2013-12-28 12:13:00-03:00,212019,12,12,28
48,-50.46873,-73.03357,2013-12-28 13:49:00-03:00,1609132,13,12,28
49,-50.468742,-73.0323,2013-12-28 15:08:00-03:00,1944310,15,12,28
